2018-05-03 03:30:53.255755+01:00 Info kb | Loaded 4747 reward entries
2018-05-03 03:30:53.287507+01:00 Info kb | Loaded 320653 feature entries
2018-05-03 03:30:53.287520+01:00 Info kb | Loaded 3390 training examples
2018-05-03 03:30:53.287875+01:00 Info Loaded a total of 3390 training examples
2018-05-03 03:30:53.786 [32mINFO[0m : ((epoch 1)(training(((accuracy 0.50358196375895492)(loss 0.70893072251403477))))(validation(((accuracy 0.52952755905511806)(loss 0.7026913922262189))))(test(((accuracy 0.51669941060903735)(loss 0.70257843100811124)))))
2018-05-03 03:30:53.973 [32mINFO[0m : ((epoch 2)(training(((accuracy 0.60134850400337125)(loss 0.67513745530042168))))(validation(((accuracy 0.639763779527559)(loss 0.66572058783105115))))(test(((accuracy 0.59724950884086447)(loss 0.671402821588998)))))
2018-05-03 03:30:54.157 [32mINFO[0m : ((epoch 3)(training(((accuracy 0.6123050990307628)(loss 0.65766363891184976))))(validation(((accuracy 0.65157480314960625)(loss 0.64638071144509623))))(test(((accuracy 0.61100196463654222)(loss 0.65602368663703092)))))
2018-05-03 03:30:54.333 [32mINFO[0m : ((epoch 4)(training(((accuracy 0.6123050990307628)(loss 0.64496552993178824))))(validation(((accuracy 0.65354330708661412)(loss 0.63257910428794317))))(test(((accuracy 0.61493123772102165)(loss 0.645161916960032)))))
2018-05-03 03:30:54.496 [32mINFO[0m : ((epoch 5)(training(((accuracy 0.6135693215339233)(loss 0.63472747438163579))))(validation(((accuracy 0.65157480314960625)(loss 0.62180635805946161))))(test(((accuracy 0.618860510805501)(loss 0.63621336446152876)))))
2018-05-03 03:30:54.658 [32mINFO[0m : ((epoch 6)(training(((accuracy 0.617361989043405)(loss 0.62513330627186836))))(validation(((accuracy 0.655511811023622)(loss 0.61149881869802769))))(test(((accuracy 0.62082514734774064)(loss 0.62850256417823336)))))
2018-05-03 03:30:54.829 [32mINFO[0m : ((epoch 7)(training(((accuracy 0.62073324905183314)(loss 0.61652094536858293))))(validation(((accuracy 0.66338582677165359)(loss 0.60317673097018))))(test(((accuracy 0.62671905697445973)(loss 0.62172975629641347)))))
2018-05-03 03:30:55.001 [32mINFO[0m : ((epoch 8)(training(((accuracy 0.62831858407079644)(loss 0.60820711730856969))))(validation(((accuracy 0.66141732283464572)(loss 0.59408124948378593))))(test(((accuracy 0.61689587426326131)(loss 0.61484320114760471)))))
2018-05-03 03:30:55.161 [32mINFO[0m : ((epoch 9)(training(((accuracy 0.64686051411715129)(loss 0.60080662793162143))))(validation(((accuracy 0.6692913385826772)(loss 0.5863848651784791))))(test(((accuracy 0.63261296660117883)(loss 0.60860693955076339)))))
2018-05-03 03:30:55.326 [32mINFO[0m : ((epoch 10)(training(((accuracy 0.65233881163084706)(loss 0.59393978464977049))))(validation(((accuracy 0.67322834645669294)(loss 0.57940340263917267))))(test(((accuracy 0.63457760314341849)(loss 0.60289585457990058)))))
2018-05-03 03:30:55.480 [32mINFO[0m : ((epoch 11)(training(((accuracy 0.65908133164770333)(loss 0.58719016471111618))))(validation(((accuracy 0.67125984251968507)(loss 0.57262971801052065))))(test(((accuracy 0.630648330058939)(loss 0.597557611709753)))))
2018-05-03 03:30:55.654 [32mINFO[0m : ((epoch 12)(training(((accuracy 0.6670880741677202)(loss 0.58067006731364157))))(validation(((accuracy 0.68503937007874016)(loss 0.56628115324526218))))(test(((accuracy 0.63457760314341849)(loss 0.592545862471507)))))
2018-05-03 03:30:55.819 [32mINFO[0m : ((epoch 13)(training(((accuracy 0.67678044669195114)(loss 0.57441104319736391))))(validation(((accuracy 0.70078740157480313)(loss 0.56007454704160109))))(test(((accuracy 0.65815324165029465)(loss 0.58760181064898187)))))
2018-05-03 03:30:55.990 [32mINFO[0m : ((epoch 14)(training(((accuracy 0.69237252423093132)(loss 0.56847400064177867))))(validation(((accuracy 0.71456692913385822)(loss 0.55443719861843965))))(test(((accuracy 0.66404715127701375)(loss 0.58281954530227864)))))
2018-05-03 03:30:56.178 [32mINFO[0m : ((epoch 15)(training(((accuracy 0.70206489675516226)(loss 0.56291746083629157))))(validation(((accuracy 0.72637795275590555)(loss 0.54846606979595069))))(test(((accuracy 0.67190569744597251)(loss 0.57859312069972069)))))
