alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.000244140625,0.102981005353,0.0209552683847,6
0.0001220703125,0.171327427274,0.0432684233031,7
6.103515625e-05,0.193676750759,0.059101805832,9
3.0517578125e-05,0.211269306262,0.0840734047632,15
1.52587890625e-05,0.243027981545,0.17639871902,40
7.62939453125e-06,0.283750679262,0.421479224701,49
3.81469726562e-06,0.320542636453,0.824680653653,64
1.90734863281e-06,0.344416202081,1.34286146642,83
9.53674316406e-07,0.362935839538,2.16360763953,130
4.76837158203e-07,0.379620997704,3.6951576927,186
2.38418579102e-07,0.398857475602,7.25179583829,262
